t0,h01,h11,b1,f2,h2,b2,h03,h13,b3,t1,time,score
2019-12-14 11:32:00,0.19,0.63,0.12,5.0,0.5,0.17,0.45,1.1,0.37,2019-12-14 11:43:00,11.0,87.5
2019-12-14 11:32:00,0.18,0.52,0.11,5.0,0.5,0.16,0.45,1.05,3.5,2019-12-14 11:49:00,17.000000000000004,50.0
2019-12-14 11:32:00,0.1875,625.0,0.14,5.0,0.5,167.0,0.45,1.06,0.35,2019-12-14 11:49:00,17.000000000000004,75.0
2019-12-14 11:32:00,187.0,0.62,135.0,5.0,0.5,1.67,0.45,1.06,0.35,2019-12-14 11:49:00,17.000000000000004,75.0
2019-12-14 11:31:00,186.0,625.0,0.1351,0.5,0.18,10.0,0.45,0.16,0.6,2019-12-14 11:56:00,25.0,12.5
2019-12-14 09:50:00,0.18,0.62,0.13,5.0,0.5,0.16,0.45,1.05,0.35,2019-12-14 10:02:00,12.0,75.0
2019-12-14 09:49:00,0.19,0.63,0.14,5.0,0.5,0.17,0.45,1.1,0.37,2019-12-14 10:02:00,13.0,87.5
2019-12-14 09:49:00,0.1875,0.625,0.13,5.0,0.5,0.17,0.45,1.058,0.35,2019-12-14 10:05:00,16.000000000000004,100.0
2019-12-14 09:49:00,0.18,0.62,0.13,5.0,0.5,0.16,0.45,1.05,0.35,2019-12-14 10:07:00,18.0,75.0
2019-12-14 09:49:00,0.18,0.6,0.1,5.0,0.5,0.1,0.4,1.5,0.5,2019-12-14 10:05:00,16.000000000000004,37.5
2019-12-14 09:49:00,0.187,0.525,0.11867,5.0,0.5,0.1667,0.45,10.588,0.3533,2019-12-14 10:08:00,19.0,75.0
2019-12-14 09:49:00,0.19,0.625,0.135,5.0,0.5,0.17,0.45,1.05,0.35,2019-12-14 10:08:00,19.0,100.0
2019-12-14 09:49:00,0.1875,0.625,0.1354,5.0,0.5,0.17,0.45,1.058,0.35,2019-12-14 10:16:00,27.0,100.0
2019-12-14 09:49:00,0.1,0.6,1.01,5.0,0.5,0.1,0.4,1.04,0.3,2019-12-14 10:13:00,24.0,50.0
2019-12-14 09:49:00,0.18,0.6,0.1,5.0,0.5,0.1,0.4,1.5,0.5,2019-12-14 10:05:00,16.000000000000004,37.5
2019-12-14 09:49:00,0.18,0.62,0.13,5.0,0.5,0.17,0.45,1.05,0.35,2019-12-14 10:05:00,16.000000000000004,87.5
2019-12-14 09:50:00,0.18,0.62,0.13,12.0,12.0,20.0,7.0,12.6,18.0,2019-12-14 10:21:00,31.000000000000004,12.5
2019-12-14 09:50:00,0.18,0.62,0.13,5.0,0.5,0.16,0.45,1.06,0.35,2019-12-14 10:22:00,32.00000000000001,75.0
2019-12-14 09:49:00,0.18,0.72,0.15,5.0,0.5,0.16,0.45,0.94,0.003,2019-12-14 10:21:00,32.00000000000001,37.5
2019-12-14 19:36:00,0.19,0.625,0.1354,5.0,0.5,0.16699999999999998,0.45,1.06,0.353,2019-12-14 19:50:00,14.0,100.0
2019-12-14 19:40:00,0.18,0.62,0.13,5.0,0.5,0.16,0.45,1.05,0.35,2019-12-14 19:54:00,14.0,75.0
2019-12-14 19:40:00,0.18,0.62,0.13,5.0,0.5,0.16,0.45,1.05,0.35,2019-12-14 19:55:00,15.0,75.0
2019-12-14 19:40:00,0.19,0.62,0.3,5.0,0.5,1.66,0.45,1.06,0.35,2019-12-14 19:53:00,13.0,87.5
2019-12-14 19:39:00,1.88,0.625,0.135,5.0,0.5,0.166,0.45,1.05,6.0,2019-12-14 20:05:00,26.0,75.0
2019-12-14 19:30:00,0.33,1.12,0.24,5.0,0.5,0.16,4.5,1.05,0.35,2019-12-14 19:57:00,27.0,50.0
